公司,部门,岗位,卡号,日期,打卡时间,打卡类型,备注
,,,,,,,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/6/29,2018/6/29 8:25,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/6/29,2018/6/29 17:54,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/2,2018/7/2 8:39,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/2,2018/7/2 21:04,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/3,2018/7/3 9:16,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/3,2018/7/3 19:04,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/4,2018/7/4 8:30,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/4,2018/7/4 18:29,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/5,2018/7/5 8:34,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/5,2018/7/5 19:12,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/6,2018/7/6 8:32,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/6,2018/7/6 17:43,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/7,2018/7/7 8:24,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/7,2018/7/7 19:53,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/9,2018/7/9 7:19,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/9,2018/7/9 21:53,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/10,2018/7/10 8:57,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/10,2018/7/10 18:04,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/11,2018/7/11 9:14,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/11,2018/7/11 22:38,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/12,2018/7/12 1:24,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/12,2018/7/12 5:45,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/16,2018/7/16 9:02,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/16,2018/7/16 19:17,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/17,2018/7/17 9:18,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/17,2018/7/17 19:47,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/18,2018/7/18 8:56,上班卡,补卡数据
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/18,2018/7/18 19:13,下班卡,补卡数据
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/19,2018/7/19 8:40,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/19,2018/7/19 19:45,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/20,2018/7/20 9:13,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/20,2018/7/20 18:31,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/21,2018/7/21 9:21,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/21,2018/7/21 18:31,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/23,2018/7/23 8:21,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/23,2018/7/23 18:38,下班卡,补卡数据
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/24,2018/7/24 9:23,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/24,2018/7/24 18:31,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/25,2018/7/25 8:56,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/25,2018/7/25 18:30,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/26,2018/7/26 8:31,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/26,2018/7/26 17:50,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/27,2018/7/27 9:07,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/27,2018/7/27 18:33,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/30,2018/7/30 9:12,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/7/30,2018/7/30 19:46,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/8/1,2018/8/1 9:05,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/8/1,2018/8/1 18:54,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/8/2,2018/8/2 9:09,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/8/2,2018/8/2 18:56,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/8/3,2018/8/3 8:41,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,538418,2018/8/3,2018/8/3 18:44,下班卡,
