公司,部门,岗位,卡号,日期,打卡时间,打卡类型,备注
,,,,,,,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,524202,2018/6/28,2018/6/28 9:25,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,524202,2018/6/28,2018/6/28 21:25,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,524202,2018/6/29,2018/6/29 2:27,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,524202,2018/6/29,2018/6/29 4:00,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,524202,2018/7/2,2018/7/2 9:25,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,524202,2018/7/2,2018/7/2 10:20,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,524202,2018/7/3,2018/7/3 9:26,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,524202,2018/7/3,2018/7/3 20:05,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,524202,2018/7/4,2018/7/4 9:24,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,524202,2018/7/4,2018/7/4 21:24,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,524202,2018/7/5,2018/7/5 9:31,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,524202,2018/7/5,2018/7/5 20:58,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,524202,2018/7/6,2018/7/6 1:46,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,524202,2018/7/6,2018/7/6 3:49,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,524202,2018/7/9,2018/7/9 9:27,上班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,524202,2018/7/9,2018/7/9 18:32,下班卡,
江西小鱼科技有限公司深圳分公司,前端开发部,开发工程师,524202,2018/7/10,2018/7/10 9:34,上班卡,
